shipment_id,shipment_date,warehouse_id,customer_id,planned_transit_days,actual_transit_days,delivery_status,shipment_value_inr,freight_revenue_inr,operational_cost_inr,profit_inr,profit_margin_pct,on_time_flag,delivery_date,warehouse_name,warehouse_region,state,customer_name,customer_segment,customer_region
1,2026-06-30,6,72,3.2,3.2,In Transit,2373.11,556.32,367.82,188.5,33.88,,,Pune Hub,West,Maharashtra,Customer_072,Retail,West
2,2026-06-15,4,29,2.1,2.1,Delivered,2484.93,436.42,269.39,167.03,38.27,1,2026-06-17,Mumbai Hub,West,Maharashtra,Customer_029,E-commerce,East
3,2025-08-16,4,46,2.3,2.3,Delivered,1542.88,475.05,334.31,140.74,29.63,1,2025-08-18,Mumbai Hub,West,Maharashtra,Customer_046,Wholesale,South
4,2026-06-20,4,23,3.5,3.5,Delivered,870.68,495.86,393.42,102.44,20.66,1,2026-06-23,Mumbai Hub,West,Maharashtra,Customer_023,Retail,West
5,2026-05-07,3,94,6.1,6.1,Delivered,1882.3,265.77,150.59,115.18,43.34,1,2026-05-13,Chennai Hub,South,Tamil Nadu,Customer_094,E-commerce,West
6,2026-05-04,1,114,3.9,3.9,Delivered,2069.86,367.72,274.83,92.89,25.26,1,2026-05-07,Hyderabad Hub,South,Telangana,Customer_114,Wholesale,West
7,2025-11-21,1,34,2.3,2.3,Delivered,617.66,611.44,345.32,266.12,43.52,1,2025-11-23,Hyderabad Hub,South,Telangana,Customer_034,Enterprise,East
8,2026-03-26,4,117,4.1,4.1,Delivered,151.53,481.68,368.37,113.31,23.52,1,2026-03-30,Mumbai Hub,West,Maharashtra,Customer_117,Wholesale,North
9,2025-11-01,8,29,3.8,3.8,Delivered,351.28,421.1,246.94,174.16,41.36,1,2025-11-04,Ahmedabad Hub,West,Gujarat,Customer_029,E-commerce,East
10,2025-10-14,8,9,1.3,1.3,Delivered,1146.42,346.11,233.16,112.95,32.63,1,2025-10-15,Ahmedabad Hub,West,Gujarat,Customer_009,E-commerce,South
